activity_id,name,description,type,course_id,laps,sport,sub_sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,moving_time,distance,cycles,avg_hr,max_hr,avg_rr,max_rr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,max_temperature,min_temperature,avg_temperature,start_lat,start_long,stop_lat,stop_long,hr_zones_method,hrz_1_hr,hrz_2_hr,hrz_3_hr,hrz_4_hr,hrz_5_hr,hrz_1_time,hrz_2_time,hrz_3_time,hrz_4_time,hrz_5_time
10087458548,Chicago - Dec 5,,uncategorized,,9,running,generic,3.7,0.0,2022-12-05 05:55:09.000000,2022-12-05 06:56:13.000000,01:00:51.808000,01:00:02.476000,5.734330332912,4544.0,154,170.0,,,1077,76.0,81.0,5.731030113065719,6.719755628801346,85.30183740000001,75.4593177,260.6,,260.6,41.923640286549926,-87.64703717082739,41.923771630972624,-87.64426242560148,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:17.999000,00:02:43.172000,00:18:45.415000,00:38:06.692000,00:00:00.000000
10325780083,Stair Stepper,,uncategorized,,1,fitness_equipment,stair_climbing,2.6,0.7,2023-01-17 06:09:47.000000,2023-01-17 06:30:08.000000,00:20:16.531000,00:20:16.531000,0.0,604.0,147,173.0,,,338,2.0,76.0,0.0,,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:22.236000,00:01:50.001000,00:10:54.999000,00:06:52.296000,00:00:12.000000
9696712210,Indoor Cycling,,uncategorized,,1,cycling,indoor_cycling,2.4,0.2,2022-09-29 06:31:40.000000,2022-09-29 07:18:50.000000,00:46:08.092000,00:45:55.902000,0.0,,131,155.0,,,638,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,96.0,115.0,134.0,153.0,172.0,00:03:19.998000,00:19:28.999000,00:21:14.271000,00:00:30.976000,00:00:00.000000
9475955870,Buildup Week 2,,uncategorized,,17,running,treadmill,3.4,0.2,2022-08-25 11:04:34.000000,2022-08-25 11:42:58.000000,00:38:03.758000,00:38:03.758000,2.7520219762399996,2548.0,151,169.0,,,659,67.0,82.0,4.9654991927641845,5.572207435201645,,,82.4,77.0,80.6,,,,,max_heart_rate,97.0,116.0,135.0,154.0,174.0,00:00:09.000000,00:02:21.760000,00:17:57.464000,00:17:10.871000,00:00:00.000000
10077888502,Chicago Running,,uncategorized,,11,running,generic,4.1,0.0,2022-12-03 07:01:05.000000,2022-12-03 09:20:11.000000,02:19:01.733000,01:44:53.728000,10.003324460848,8037.0,156,171.0,,,1858,76.0,80.0,5.722082484264374,7.681638258132935,154.19947530000002,193.5695541,260.6,,260.6,41.92370013333857,-87.64699660241604,41.92361522465944,-87.64840241521597,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:00.000000,00:00:20.774000,00:29:53.048000,01:14:37.772000,00:00:02.000000
9667080979,Chicago Running,,uncategorized,,14,running,generic,4.5,0.4,2022-09-24 05:46:22.000000,2022-09-24 08:45:33.000000,02:59:08.102000,02:25:14.640000,13.006299623632,11205.0,143,171.0,,,2547,77.0,90.0,5.373120161067963,9.99686667680359,147.6377955,121.39107630000001,260.6,,260.6,41.92421654239297,-87.64701671898365,41.91382214426994,-87.6311444118619,max_heart_rate,96.0,115.0,134.0,154.0,173.0,00:01:37.876000,00:08:03.854000,02:01:56.605000,00:13:30.437000,00:00:00.000000
9860452319,Chicago Running,,uncategorized,,5,running,generic,2.8,0.0,2022-10-26 05:59:26.000000,2022-10-26 06:46:58.000000,00:47:28.935000,00:46:59.776000,4.019420385456,3436.0,139,154.0,,,735,73.0,81.0,5.131530983469009,6.386452322666169,13.1233596,29.5275591,260.6,,260.6,41.92363207228482,-87.64707958325744,41.926610162481666,-87.65047752298415,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:01:11.001000,00:08:19.053000,00:36:40.581000,00:00:36.959000,00:00:00.000000
9407593220,Chicago Running,,uncategorized,,1,running,generic,0.0,0.0,2022-08-13 14:11:49.000000,2022-08-13 14:12:21.000000,00:00:25.384000,00:00:25.384000,0.003119283424,,77,80.0,,,1,,,0.44291332560002805,2.9840726048002244,0.0,0.0,89.6,89.6,89.6,41.92349620163441,-87.64693566597998,41.923565017059445,-87.64693449251354,max_heart_rate,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10050500333,Chicago Running,,uncategorized,,6,running,generic,3.4,0.0,2022-11-28 05:52:16.000000,2022-11-28 06:50:24.000000,00:57:06.299000,00:57:02.969000,5.297711431808,4287.0,151,165.0,,,993,75.0,80.0,5.572207435201645,7.534000516265869,59.0551182,72.1784778,84.2,62.6,66.2,41.92364791408181,-87.6470432896167,41.92378613166511,-87.64652168378234,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:16.001000,00:01:48.999000,00:25:24.569000,00:29:16.722000,00:00:00.000000
10108454524,Chicago Running,,uncategorized,,6,running,generic,3.5,0.0,2022-12-09 05:51:27.000000,2022-12-09 06:54:31.000000,01:03:00.320000,01:02:05.649000,5.760657830656,4645.0,155,167.0,,,1099,74.0,79.0,5.56549658026886,7.681638258132935,42.650918700000005,39.3700788,260.6,,260.6,41.92374405451119,-87.64699601568282,41.923673897981644,-87.64674782752991,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:11.827000,00:01:13.458000,00:11:29.834000,00:49:07.060000,00:00:00.000000
10582174563,Chicago Running,,uncategorized,,21,running,generic,4.9,0.0,2023-02-25 05:36:37.000000,2023-02-25 09:27:24.000000,03:50:42.401000,03:42:04.156000,20.0059778408,16988.0,154,178.0,,,3330,76.0,82.0,5.404437128536224,9.122225161598205,262.467192,278.8713915,260.6,,260.6,41.9236951880157,-87.64704043976963,41.927549773827195,-87.6417488604784,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:14.221000,00:04:06.911000,01:29:24.089000,02:00:26.948000,00:07:49.730000
10142385361,Chicago Running,,uncategorized,,6,running,generic,3.5,0.0,2022-12-16 05:57:11.000000,2022-12-16 06:59:25.000000,01:01:59.136000,01:00:33.622000,5.735809196368,4581.0,154,171.0,,,1033,75.0,80.0,5.681817354667663,7.764404757867813,59.0551182,52.4934384,260.6,,260.6,41.92366065457463,-87.64695268124342,41.92385260015726,-87.64638086780906,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:11.999000,00:00:52.002000,00:16:44.359000,00:42:32.194000,00:00:02.000000
9623959500,Chicago Running,,uncategorized,,21,running,generic,5.0,0.0,2022-09-17 06:06:24.000000,2022-09-17 10:13:24.000000,04:06:12.787000,03:45:54.454000,20.055575689984,17211.0,151,181.0,,,4012,77.0,86.0,5.32614470986557,6.907658500265121,147.6377955,144.3569556,260.6,,260.6,41.916658245027065,-87.62996843084693,41.91772324964404,-87.63016674667597,max_heart_rate,96.0,115.0,134.0,154.0,173.0,00:00:25.497000,00:02:24.193000,02:19:26.838000,01:21:03.028000,00:01:38.920000
9453805268,Chicago - Buildup Week 2,,uncategorized,,17,running,generic,2.9,0.0,2022-08-22 06:20:36.000000,2022-08-22 07:00:17.000000,00:39:29.505000,00:38:04.308000,3.121464436912,2577.0,138,160.0,,,549,66.0,78.0,4.9190219994697575,6.679491032531738,3.2808399,6.5616798,86.0,75.2,77.0,41.92338891327381,-87.64697548002005,41.92416675388813,-87.6463611703366,max_heart_rate,97.0,116.0,135.0,154.0,174.0,00:02:10.778000,00:11:53.051000,00:18:19.731000,00:05:14.189000,00:00:00.000000
