day,resting_heart_rate
2022-10-26,46.0
2023-02-08,45.0
2023-01-18,44.0
2022-10-30,50.0
2023-01-22,59.0
2022-09-06,48.0
2022-12-21,50.0
2022-11-27,53.0
2023-02-24,47.0
2022-09-10,53.0
2022-11-07,53.0
2022-12-17,49.0
2022-09-30,50.0
2023-01-14,47.0
2023-02-04,50.0
2022-09-26,50.0
2023-01-02,53.0
2023-02-12,51.0
2022-11-11,57.0
2022-12-01,44.0
2022-08-27,51.0
2022-10-10,54.0
2022-10-06,47.0
2022-08-31,54.0
2022-08-30,54.0
2022-10-07,53.0
2022-10-11,50.0
2022-08-26,54.0
2022-11-10,54.0
2023-02-13,48.0
2022-09-27,53.0
2023-01-03,48.0
2023-02-05,53.0
2023-01-15,47.0
2022-12-16,45.0
2022-11-06,55.0
2022-09-11,53.0
2023-02-25,49.0
2022-11-26,48.0
2022-11-30,50.0
2022-12-20,47.0
2023-01-23,51.0
2022-09-07,44.0
2022-10-31,47.0
2023-01-19,44.0
2023-02-09,52.0
2022-10-27,45.0
2022-11-01,49.0
2022-12-11,58.0
2023-01-12,50.0
2023-02-02,50.0
2022-09-20,48.0
2023-01-04,48.0
2023-02-14,47.0
2022-11-17,53.0
2022-12-07,49.0
2023-01-28,50.0
2022-08-21,55.0
2022-10-16,54.0
2022-10-20,48.0
2022-08-17,54.0
2023-02-18,47.0
2023-01-08,61.0
2023-01-24,49.0
2022-12-27,63.0
2022-12-31,60.0
2022-11-21,47.0
2023-02-22,46.0
2022-09-16,52.0
2022-09-17,52.0
2023-02-23,47.0
2022-11-20,51.0
2022-12-30,55.0
2022-12-26,52.0
2023-01-25,49.0
2022-09-01,52.0
2023-01-09,51.0
2023-02-19,49.0
2022-08-16,49.0
2022-10-21,48.0
2022-10-01,51.0
2022-10-17,53.0
2022-08-20,54.0
2023-01-29,54.0
2022-12-06,47.0
2022-11-16,56.0
2023-02-15,47.0
2022-09-21,45.0
2023-01-05,51.0
2023-02-03,47.0
2023-01-13,51.0
2022-12-10,63.0
2022-09-18,52.0
2022-10-02,52.0
2022-12-29,56.0
2022-10-14,56.0
2022-08-23,50.0
2022-12-05,50.0
2022-11-15,58.0
2023-02-16,47.0
2023-01-06,52.0
2022-09-22,49.0
2022-08-19,52.0
2023-01-10,48.0
2022-12-13,46.0
2022-11-03,52.0
2022-09-14,46.0
2023-01-30,50.0
2023-02-20,49.0
2022-11-23,49.0
2022-10-18,52.0
2022-12-25,51.0
2022-09-02,50.0
2023-01-26,50.0
2022-11-19,50.0
2022-12-09,52.0
2022-08-15,50.0
2022-10-22,48.0
2022-10-23,52.0
2022-08-14,55.0
2022-12-08,50.0
2022-11-18,55.0
2022-09-03,54.0
2023-01-27,53.0
2022-12-24,51.0
2022-10-19,50.0
2022-11-22,48.0
2023-02-21,50.0
2022-09-15,49.0
2023-01-31,49.0
2022-11-02,51.0
2022-12-12,50.0
2023-01-11,50.0
2023-02-01,48.0
2022-08-18,52.0
2023-01-07,50.0
2022-09-23,48.0
2023-02-17,48.0
2022-11-14,58.0
2022-12-04,58.0
2022-08-22,51.0
2022-10-15,51.0
2022-12-28,60.0
2022-10-03,48.0
2022-09-19,50.0
2022-09-12,51.0
2023-02-26,51.0
2022-11-25,52.0
2022-10-08,53.0
2022-12-23,47.0
2022-09-04,58.0
2023-01-20,45.0
2022-08-29,53.0
2022-09-28,49.0
2022-08-13,71.0
2022-11-09,55.0
2022-10-24,47.0
2022-12-19,46.0
2022-10-04,47.0
2022-11-29,51.0
2022-10-12,52.0
2022-08-25,54.0
2022-09-08,47.0
2022-12-03,61.0
2022-11-13,58.0
2023-02-10,47.0
2022-09-24,51.0
2023-02-06,46.0
2023-01-16,50.0
2022-12-15,48.0
2022-10-28,44.0
2022-11-05,53.0
2022-11-04,54.0
2022-10-29,48.0
2022-12-14,47.0
2023-01-17,46.0
2023-02-07,44.0
2023-01-01,55.0
2022-09-25,51.0
2023-02-11,46.0
2022-11-12,58.0
2022-12-02,52.0
2022-09-09,52.0
2022-08-24,49.0
2022-10-13,58.0
2022-11-28,48.0
2022-10-05,47.0
2022-12-18,43.0
2022-10-25,45.0
2022-11-08,51.0
2022-09-29,49.0
2022-08-28,56.0
2022-09-05,50.0
2023-01-21,47.0
2022-12-22,49.0
2022-10-09,53.0
2022-11-24,54.0
2023-02-27,49.0
2022-09-13,49.0
2023-03-05,54.0
2023-02-28,47.0
2023-03-04,52.0
2023-03-03,53.0
2023-03-02,51.0
2023-03-01,48.0
2023-03-06,46.0
